SalePrice,YearBuilt,Size,Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall)
1096902,2014,907,18,90,1174,5,5,10,20,7,1,0,1
1496368.8,2007,1387,5,0,1270,5,5,7,16,3,1,2,1
1015043.2,2006,903,14,123,181,10,5,3,11,3,1,1,1
1211502.1,2013,910,6,8,930,5,5,7,14,5,1,1,1
1293360.9,2013,910,11,8,930,5,5,7,14,5,1,1,1
248847.2,2014,156,15,0,218,5,10,1,0,4,1,0,0
622121.7,1993,644,19,523,536,5,20,8,20,6,2,0,1
815306.1,1993,914,1,523,536,5,20,8,20,6,2,0,1
589380.4,1992,644,4,142,79,10,20,3,8,5,1,1,1
975749.2,2006,903,5,123,181,10,5,3,11,3,1,1,1
1768141.2,2007,1643,29,0,1270,5,5,7,16,3,1,2,1
1342474.7,2007,1273,5,7,605,5,5,2,5,4,1,2,1
1123094.3,2006,914,9,249,536,5,5,6,11,1,1,0,1
839866.7,1993,914,10,523,536,5,20,8,20,6,2,0,1
1702651.2,2007,1690,20,7,605,5,5,2,5,4,1,2,1
464953.1,1986,715,4,100,18,5,10,1,2,5,1,2,1
1080529.5,2008,829,11,197,475,10,5,6,14,3,1,1,1
589380.4,1992,644,8,142,79,10,20,3,8,5,1,1,1
1309733.4,2014,914,15,467,203,5,5,5,12,0,0,0,0
1604423.6,2007,1448,29,554,524,5,5,3,10,2,2,2,2
916811.9,1993,914,12,523,536,5,20,8,20,6,2,0,1
294690.2,1992,355,7,200,0,10,15,3,10,7,1,1,1
1620796.1,2007,1387,14,0,1270,5,5,7,16,3,1,2,1
761282.4,2005,572,16,67,798,5,10,8,0,5,2,0,1
1221325.6,2014,843,13,90,1174,5,5,10,20,7,1,0,1
605749.2,1978,903,9,87,0,5,5,2,4,3,2,1,1
1326105.9,2013,907,13,8,930,5,5,7,14,5,1,1,1
1080529.5,2007,868,21,0,1270,5,5,7,16,3,1,2,1
867698.1,1986,914,9,713,0,5,15,7,27,5,1,1,0
1473451,2007,1334,8,7,605,5,5,2,5,4,1,2,1
1240972.6,2007,868,8,0,1270,5,5,7,16,3,1,2,1
1800882.5,2007,1387,17,0,1270,5,5,7,16,3,1,2,1
1882741.3,2007,1643,26,0,1270,5,5,7,16,3,1,2,1
203007.9,2014,138,19,0,218,5,10,1,0,4,1,0,0
2079200.2,2007,1928,26,0,1270,5,5,7,16,3,1,2,1
998670.7,2009,910,4,25,203,5,120,1,5,2,1,0,0
1407961,2007,1273,13,7,605,5,5,2,5,4,1,2,1
379819.8,2014,291,9,11,108,5,10,1,0,3,1,2,1
1571678.6,2008,1167,20,197,475,10,5,6,14,3,1,1,1
552313.8,2013,644,13,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,18,8,930,5,5,7,14,5,1,1,1
546715.7,2013,644,9,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,8,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,19,8,930,5,5,7,14,5,1,1,1
546715.7,2013,644,9,8,930,5,5,7,14,5,1,1,1
546715.7,2013,644,8,8,930,5,5,7,14,5,1,1,1
557878.6,2013,644,16,8,930,5,5,7,14,5,1,1,1
557878.6,2013,644,17,8,930,5,5,7,14,5,1,1,1
368294.3,2013,426,3,8,930,5,5,7,14,5,1,1,1
546715.7,2013,644,15,8,930,5,5,7,14,5,1,1,1
557878.6,2013,644,18,8,930,5,5,7,14,5,1,1,1
383553.1,2013,426,19,8,930,5,5,7,14,5,1,1,1
546715.7,2013,644,7,8,930,5,5,7,14,5,1,1,1
541147.2,2013,644,6,8,930,5,5,7,14,5,1,1,1
530539.3,2013,644,5,8,930,5,5,7,14,5,1,1,1
541147.2,2013,644,5,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,12,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,15,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,19,8,930,5,5,7,14,5,1,1,1
383553.1,2013,426,16,8,930,5,5,7,14,5,1,1,1
552313.8,2013,644,16,8,930,5,5,7,14,5,1,1,1
541147.2,2013,644,6,8,930,5,5,7,14,5,1,1,1
370000,1986,508,10,100,18,5,10,1,2,5,1,2,1
746545.3,2005,572,4,67,798,5,10,8,0,5,2,0,1
1129643.3,1986,1377,4,713,0,5,15,7,27,5,1,1,0
780925.7,2005,572,10,67,798,5,10,8,0,5,2,0,1
487874.6,1992,640,6,200,0,10,15,3,10,7,1,1,1
1424333.5,2007,1483,5,7,605,5,5,2,5,4,1,2,1
1653537.4,2007,1690,13,7,605,5,5,2,5,4,1,2,1
1139466.8,2014,843,6,90,1174,5,5,10,20,7,1,0,1
1335925.7,2007,868,16,0,1270,5,5,7,16,3,1,2,1
1800882.5,2007,1643,31,0,1270,5,5,7,16,3,1,2,1
818580.6,1992,914,5,142,79,10,20,3,8,5,1,1,1
268494.2,1992,355,10,200,0,10,15,3,10,7,1,1,1
412564.8,2014,288,14,11,108,5,10,1,0,3,1,2,1
301235.5,1992,355,14,200,0,10,15,3,10,7,1,1,1
1227874.6,2014,910,16,90,1174,5,5,10,20,7,1,0,1
1339200.2,2014,914,16,467,203,5,5,5,12,0,0,0,0
893890.4,2005,743,17,67,798,5,10,8,0,5,2,0,1
1055972.6,1986,1313,3,713,0,5,15,7,27,5,1,1,0
875882.5,2006,636,6,111,184,10,15,3,0,2,1,1,1
360176.5,1986,508,7,100,18,5,10,1,2,5,1,2,1
1047784.5,2005,914,8,67,798,5,10,8,0,5,2,0,1
557878.6,2013,644,15,8,930,5,5,7,14,5,1,1,1
1358847.2,2014,914,26,467,203,5,5,5,12,0,0,0,0
1221325.6,2014,914,18,90,1174,5,5,10,20,7,1,0,1
654866.7,1993,644,19,523,536,5,20,8,20,6,2,0,1
893890.4,2014,640,30,90,1174,5,5,10,20,7,1,0,1
1653537.4,2007,1387,21,0,1270,5,5,7,16,3,1,2,1
478051.1,1992,640,10,200,0,10,15,3,10,7,1,1,1
1620796.1,2007,1387,9,0,1270,5,5,7,16,3,1,2,1
1257345.1,2007,868,12,0,1270,5,5,7,16,3,1,2,1
1015043.2,1986,1131,5,713,0,5,15,7,27,5,1,1,0
1136192.3,1986,1377,2,713,0,5,15,7,27,5,1,1,0
1293360.9,2014,914,5,467,203,5,5,5,12,0,0,0,0
1008494.2,2014,644,13,90,1174,5,5,10,20,7,1,0,1
1391592.2,2007,1394,12,554,524,5,5,3,10,2,2,2,2
785839.3,1993,914,10,523,536,5,20,8,20,6,2,0,1
785839.3,1978,903,1,87,0,5,5,2,4,3,2,1,1
1044510,2009,914,7,25,203,5,120,1,5,2,1,0,0
1365396.2,2013,907,10,8,930,5,5,7,14,5,1,1,1
1303184.4,2013,910,4,8,930,5,5,7,14,5,1,1,1
1221325.6,2014,907,10,90,1174,5,5,10,20,7,1,0,1
1005219.7,2005,914,11,67,798,5,10,8,0,5,2,0,1
992121.7,2014,644,24,90,1174,5,5,10,20,7,1,0,1
1342474.7,2007,868,19,0,1270,5,5,7,16,3,1,2,1
979023.7,2013,644,9,8,930,5,5,7,14,5,1,1,1
1244247.1,2015,910,13,175,1321,10,10,13,24,1,1,2,1
1460353,2015,910,25,175,1321,10,10,13,24,1,1,2,1
1260615.9,2014,907,17,90,1174,5,5,10,20,7,1,0,1
1276988.4,2014,914,23,90,1174,5,5,10,20,7,1,0,1
1293360.9,2014,914,5,467,203,5,5,5,12,0,0,0,0
1201678.6,2014,843,18,90,1174,5,5,10,20,7,1,0,1
1345749.2,1986,1796,4,713,0,5,15,7,27,5,1,1,0
1276988.4,2007,868,20,0,1270,5,5,7,16,3,1,2,1
422388.3,1992,576,15,200,0,10,15,3,10,7,1,1,1
949556.9,2014,640,2,90,1174,5,5,10,20,7,1,0,1
1322831.4,2014,914,8,467,203,5,5,5,12,0,0,0,0
432211.8,1992,576,9,200,0,10,15,3,10,7,1,1,1
379819.8,2014,288,7,11,108,5,10,1,0,3,1,2,1
1031415.7,1986,1131,12,713,0,5,15,7,27,5,1,1,0
720353,1978,779,6,87,0,5,5,2,4,3,2,1,1
867698.1,1986,914,6,713,0,5,15,7,27,5,1,1,0
1276988.4,2015,914,4,102,400,5,10,6,10,3,2,1,1
1538937.3,2007,1483,7,7,605,5,5,2,5,4,1,2,1
1417784.5,2015,910,33,175,1321,10,10,13,24,1,1,2,1
1702651.2,2014,1252,10,467,203,5,5,5,12,0,0,0,0
442035.3,1992,576,7,200,0,10,15,3,10,7,1,1,1
1417784.5,2015,910,20,175,1321,10,10,13,24,1,1,2,1
808760.8,1992,914,17,142,79,10,20,3,8,5,1,1,1
1103451,2007,914,16,554,524,5,5,3,10,2,2,2,2
1100176.5,2008,829,12,197,475,10,5,6,14,3,1,1,1
1146015.8,2014,843,6,90,1174,5,5,10,20,7,1,0,1
464953.1,1985,587,6,80,76,5,10,1,2,5,1,2,1
199733.4,2014,135,18,0,218,5,10,1,0,4,1,0,0
1293360.9,2015,910,2,175,1321,10,10,13,24,1,1,2,1
1100176.5,2015,644,6,175,1321,10,10,13,24,1,1,2,1
867698.1,2005,743,4,67,798,5,10,8,0,5,2,0,1
1637164.9,2014,1088,14,90,1174,5,5,10,20,7,1,0,1
1313007.9,2014,914,14,90,1174,5,5,10,20,7,1,0,1
1021592.2,2014,640,18,90,1174,5,5,10,20,7,1,0,1
1309733.4,2014,914,10,467,203,5,5,5,12,0,0,0,0
1332651.2,2014,914,5,467,203,5,5,5,12,0,0,0,0
1247521.6,2014,907,23,90,1174,5,5,10,20,7,1,0,1
1375219.7,2014,914,15,467,203,5,5,5,12,0,0,0,0
1234423.6,2014,910,13,90,1174,5,5,10,20,7,1,0,1
1064157,2006,910,1,111,184,10,15,3,0,2,1,1,1
1080529.5,2015,644,14,175,1321,10,10,13,24,1,1,2,1
1440706,2015,910,15,175,1321,10,10,13,24,1,1,2,1
1440706,2015,910,4,175,1321,10,10,13,24,1,1,2,1
1015043.2,1992,1448,6,142,79,10,20,3,8,5,1,1,1
802211.8,1992,914,13,142,79,10,20,3,8,5,1,1,1
1358847.2,2014,910,23,90,1174,5,5,10,20,7,1,0,1
1732121.7,2014,1252,20,467,203,5,5,5,12,0,0,0,0
1015043.2,2005,914,13,67,798,5,10,8,0,5,2,0,1
1342474.7,2014,914,9,467,203,5,5,5,12,0,0,0,0
769466.8,1978,779,7,87,0,5,5,2,4,3,2,1,1
1719023.7,2007,1387,3,0,1270,5,5,7,16,3,1,2,1
1221325.6,2015,832,17,102,400,5,10,6,10,3,2,1,1
442035.3,1997,644,4,82,56,10,20,1,4,7,1,2,1
1106725.5,2009,910,7,25,203,5,120,1,5,2,1,0,0
1407961,2014,914,13,90,1174,5,5,10,20,7,1,0,1
1080529.5,2008,829,5,197,475,10,5,6,14,3,1,1,1
1741945.2,2014,1088,22,90,1174,5,5,10,20,7,1,0,1
1817255,2007,1519,21,0,1270,5,5,7,16,3,1,2,1
